,brand,owner,fuel,selling_price
509,Ford,second,lpg,3610000
510,Audi,second,petrol,9510000
511,Peugeot,first,lpg,5580000
512,Volvo,first,lpg,7570000
513,Chevrolet,second,diesel,9050000
514,Tesla,third,cng,3460000
515,Tesla,second,lpg,1320000
516,Chevrolet,second,petrol,1470000
517,Peugeot,first,petrol,8540000
518,Ferrari,first,diesel,5640000
519,Jaguar,first,cng,9170000
520,Renault,third,petrol,4130000
521,Volkswagen,third,cng,5460000
522,Audi,second,petrol,7560000
523,Porsche,third,diesel,3490000
524,Toyota,third,petrol,5830000
525,Audi,third,cng,1820000
526,Ferrari,second,petrol,8570000
527,Audi,first,lpg,1070000
528,Chevrolet,second,diesel,3870000
529,Volvo,first,diesel,9760000
530,Ferrari,third,lpg,1550000
531,Ferrari,third,lpg,5160000
532,Tesla,first,lpg,2360000
533,Ford,third,cng,3300000
534,Ferrari,third,petrol,2430000
535,Volvo,first,petrol,9000000
536,Renault,second,cng,5970000
537,Jaguar,second,lpg,6580000
538,Porsche,second,cng,1770000
539,Tesla,second,lpg,6140000
540,Tesla,first,lpg,9130000
541,Porsche,third,petrol,6090000
542,Volvo,third,petrol,4420000
543,Toyota,third,lpg,6230000
544,Toyota,third,petrol,7270000
545,Ford,second,diesel,6180000
546,Toyota,first,cng,3340000
547,Audi,first,petrol,4180000
548,BMW,second,diesel,3570000
549,Volvo,third,lpg,4690000
550,Porsche,third,cng,4990000
551,Peugeot,first,lpg,7690000
552,Toyota,third,diesel,1120000
553,Ferrari,second,lpg,4280000
554,Volkswagen,third,petrol,4960000
555,Ferrari,third,petrol,3190000
556,Ford,second,petrol,5210000
557,Jaguar,first,lpg,7110000
558,Ferrari,first,petrol,5350000
559,Jaguar,third,cng,3350000
560,Volkswagen,first,diesel,2610000
561,Lamborghini,third,petrol,4040000
562,Toyota,first,lpg,5060000
563,Honda,third,lpg,2550000
564,Porsche,first,lpg,6530000
565,Chevrolet,second,petrol,8930000
566,Mercedes-Benz,first,petrol,4110000
567,Jaguar,first,lpg,4070000
568,Toyota,second,cng,9970000
569,Renault,first,petrol,3940000
570,Jaguar,first,diesel,4250000
571,Peugeot,third,diesel,8660000
572,Porsche,second,cng,9230000
573,Ford,first,cng,7360000
574,Volkswagen,first,cng,5050000
575,Ford,third,petrol,5550000
576,Ford,second,diesel,2230000
577,Tesla,second,cng,8210000
578,Renault,first,diesel,7610000
579,Ferrari,second,lpg,1160000
580,Jaguar,first,lpg,4440000
581,Renault,second,cng,4670000
582,Tesla,second,cng,7700000
583,Porsche,third,petrol,9210000
584,Jeep,second,lpg,5290000
585,Porsche,second,petrol,4440000
586,Ferrari,third,petrol,4120000
587,Jaguar,second,cng,5340000
588,Tesla,third,diesel,8770000
589,Renault,third,cng,1290000
590,Toyota,second,petrol,7700000
591,Jaguar,first,lpg,3790000
592,Tesla,third,diesel,7120000
593,Ford,first,cng,4150000
594,Peugeot,first,lpg,3550000
595,Volkswagen,first,cng,4540000
596,Ford,second,cng,6530000
597,Toyota,first,lpg,8200000
598,Ford,first,diesel,9500000
599,Tesla,third,lpg,4350000
600,Lamborghini,third,lpg,2580000
601,Volkswagen,second,petrol,5620000
602,Jaguar,third,cng,4730000
603,Volkswagen,third,petrol,9470000
604,Porsche,third,petrol,2480000
605,Chevrolet,second,diesel,3670000
606,Tesla,first,petrol,6800000
607,Toyota,first,cng,8460000
608,Audi,first,diesel,5970000
609,Toyota,second,diesel,9680000
610,Volkswagen,third,diesel,4370000
611,Mercedes-Benz,second,petrol,1350000
612,Audi,third,petrol,5740000
613,Renault,first,petrol,7840000
614,Honda,first,cng,3200000
615,Ford,second,diesel,5620000
616,Ferrari,third,petrol,2450000
617,Ferrari,first,diesel,2290000
618,Jaguar,second,petrol,2510000
619,Tesla,third,diesel,8760000
620,Ford,second,diesel,4320000
621,Peugeot,second,cng,2860000
622,Audi,third,diesel,4770000
623,Land Rover,third,cng,6420000
624,Peugeot,second,cng,1270000
625,Jaguar,first,cng,3610000
626,Tesla,third,lpg,5570000
627,Renault,third,lpg,1640000
628,Volvo,second,cng,3790000
629,Toyota,second,lpg,8200000
630,Volvo,second,lpg,4310000
631,Audi,third,cng,6360000
632,Audi,second,petrol,1820000
633,Volkswagen,second,diesel,8400000
634,Volvo,second,diesel,3460000
635,Tesla,third,cng,2860000
636,Volvo,third,cng,9770000
637,Renault,third,cng,3420000
638,Volkswagen,first,lpg,5110000
639,Volkswagen,second,cng,7960000
640,Ford,second,petrol,2760000
641,Toyota,third,diesel,6100000
642,Peugeot,third,cng,4070000
643,Renault,second,lpg,9370000
644,Ford,third,diesel,2920000
645,Audi,second,cng,3240000
646,Porsche,second,diesel,1750000
647,Volvo,third,lpg,4490000
648,Renault,second,cng,9900000
649,Ferrari,second,cng,4950000
650,Porsche,first,lpg,5190000
651,Peugeot,first,lpg,1510000
652,Ford,first,diesel,5280000
653,Ford,first,petrol,7530000
654,Renault,third,cng,2110000
655,Volvo,second,cng,8500000
656,Volkswagen,first,diesel,1830000
657,Renault,third,diesel,3020000
658,Porsche,third,diesel,5960000
659,Ferrari,second,lpg,8590000
660,Audi,second,lpg,7710000
661,Peugeot,first,petrol,2580000
662,Volvo,third,lpg,9700000
663,Volvo,first,diesel,3760000
664,Renault,third,petrol,2410000
665,Volkswagen,second,petrol,3290000
666,Audi,second,cng,8690000
667,Jaguar,third,petrol,8230000
668,Renault,third,diesel,2570000
669,Porsche,second,diesel,1130000
670,Porsche,third,petrol,2040000
671,Chevrolet,first,lpg,5030000
672,Porsche,second,lpg,1000000
673,Ferrari,first,cng,4110000
674,Ford,second,petrol,3520000
675,Toyota,second,lpg,9910000
676,Peugeot,first,cng,1640000
677,Porsche,third,cng,5320000
678,Peugeot,second,petrol,8730000
679,Kia,second,lpg,6770000
680,Volkswagen,first,lpg,1750000
681,Ferrari,first,lpg,4850000
682,Toyota,first,lpg,2650000
683,Renault,second,cng,6510000
684,Toyota,first,petrol,9520000
685,Ford,third,diesel,2250000
686,Jaguar,second,petrol,8160000
687,Chevrolet,first,diesel,8640000
688,Porsche,second,diesel,8030000
689,Tesla,first,lpg,4180000
690,Renault,first,cng,1680000
691,Nissan,first,cng,7520000
692,Ford,first,petrol,8640000
693,Volkswagen,third,cng,4490000
694,Peugeot,second,lpg,1720000
695,Chevrolet,second,petrol,8600000
696,Kia,first,diesel,6020000
697,Ferrari,second,cng,7230000
698,Renault,third,lpg,4020000
699,Porsche,third,lpg,1810000
700,Tesla,third,petrol,8550000
701,Toyota,third,cng,5050000
702,Ferrari,first,petrol,5140000
703,Ford,second,lpg,3270000
704,Chevrolet,second,petrol,4010000
705,Volkswagen,first,petrol,3900000
706,Porsche,first,lpg,1610000
707,Toyota,third,diesel,4350000
708,Toyota,third,petrol,4960000
709,Volvo,third,lpg,8240000
710,Chevrolet,second,diesel,6720000
711,Tesla,first,lpg,8660000
712,Volvo,second,cng,9740000
713,Audi,first,diesel,9870000
714,Jaguar,first,petrol,5100000
715,Volvo,third,lpg,7940000
716,Peugeot,third,lpg,9250000
717,Chevrolet,first,lpg,1900000
718,Jaguar,second,cng,7610000
719,Porsche,third,petrol,9030000
720,Jaguar,second,lpg,2330000
721,Renault,first,diesel,6020000
722,Porsche,third,diesel,1210000
723,Tesla,third,petrol,4930000
724,Volkswagen,second,diesel,1650000
725,Toyota,third,petrol,3660000
726,Ford,first,lpg,2660000
727,Tesla,first,diesel,6850000
728,Volkswagen,second,cng,9450000
729,Porsche,first,lpg,7170000
730,Porsche,second,petrol,6620000
731,Ford,third,lpg,2370000
732,Peugeot,second,diesel,3960000
733,Renault,second,diesel,5180000
734,Renault,second,petrol,1700000
735,Renault,second,cng,3230000
736,Porsche,second,diesel,9640000
737,Ford,second,diesel,6540000
738,Chevrolet,first,lpg,4220000
739,Audi,third,cng,4740000
740,BMW,second,petrol,4670000
741,Jaguar,first,lpg,1930000
742,Audi,third,petrol,3400000
743,Honda,second,cng,9840000
744,Jaguar,second,cng,1130000
745,Ferrari,third,petrol,1280000
746,Porsche,second,petrol,7220000
747,Jaguar,third,diesel,7660000
748,Audi,second,lpg,7170000
749,Tesla,third,petrol,1570000
750,Tesla,first,petrol,9000000
751,Peugeot,third,diesel,3030000
752,Audi,third,diesel,9460000
753,Volkswagen,third,petrol,2720000
754,Volkswagen,third,diesel,7210000
755,Jaguar,second,petrol,8710000
756,Toyota,first,petrol,5430000
757,Volkswagen,first,cng,2750000
758,Ferrari,third,lpg,3330000
759,Honda,second,diesel,6750000
760,Chevrolet,second,lpg,3190000
761,Peugeot,first,diesel,3520000
762,Renault,first,petrol,2630000
763,Renault,first,lpg,9070000
764,Toyota,first,diesel,6380000
765,Porsche,first,cng,8610000
766,Jaguar,second,cng,3400000
767,Ford,third,diesel,9490000
768,Volkswagen,second,diesel,5930000
769,Peugeot,third,petrol,9830000
770,Kia,first,cng,4610000
771,Ferrari,third,petrol,9760000
772,Ford,third,lpg,7340000
773,Toyota,second,lpg,4780000
774,Renault,third,cng,9230000
775,Peugeot,third,cng,1860000
776,Renault,third,cng,3890000
777,Tesla,first,diesel,5620000
778,Volvo,first,petrol,3290000
779,Mitsubishi,first,diesel,6890000
780,Toyota,first,petrol,7600000
781,Chevrolet,second,cng,1930000
782,Peugeot,second,petrol,5160000
783,Toyota,third,lpg,2430000
784,Ferrari,third,diesel,3030000
785,Toyota,first,diesel,8200000
786,Renault,third,diesel,9860000
787,Volkswagen,second,lpg,6680000
788,Toyota,second,cng,7020000
789,Chevrolet,first,cng,9630000
790,Audi,third,lpg,4550000
791,Toyota,third,diesel,7920000
792,Jaguar,second,petrol,1400000
793,Tesla,first,cng,6370000
794,Ford,third,lpg,1310000
795,Jaguar,first,lpg,3230000
796,Land Rover,second,petrol,2970000
797,Ford,third,petrol,2890000
798,Chevrolet,third,petrol,2420000
799,Toyota,first,diesel,6970000
800,Volkswagen,third,cng,3760000
801,Ferrari,second,lpg,9950000
802,Chevrolet,first,diesel,5880000
803,Ford,second,lpg,5780000
804,Renault,first,petrol,9270000
805,Ford,third,diesel,4110000
806,Jaguar,first,diesel,1610000
807,Jaguar,first,diesel,8750000
808,Peugeot,second,petrol,1250000
809,Ferrari,second,cng,1020000
810,Peugeot,second,diesel,5000000
811,Jaguar,second,cng,5980000
812,Volvo,second,cng,1060000
813,Jaguar,third,lpg,5740000
814,Mitsubishi,third,petrol,6730000
815,Porsche,second,petrol,8910000
816,Renault,third,petrol,5020000
